tahun,klasifikasi_industri,jenis_bahan_bakar,nilai_pemakaian
2013,Makanan,Bensin,11228831
2013,Minuman,Bensin,409139
2013,Tekstil,Bensin,2774126
2013,Pakaian Jadi,Bensin,20890545
2013,Kulit dan Barang Dari Kulit dan Alas Kaki ,Bensin,1080815
2013,"Kayu, Barang Dari Kayu dan Gabus (Tidak Termasuk Furnitur) dan Barang-Barang Anyaman dari Bambu, Rotan dan Sejenisnya",Bensin,674401
2013,Kertas dan Barang Dari Kertas ,Bensin,11020100
2013,Percetakan dan Reproduksi Media Rekaman ,Bensin,13701448
2013,Bahan Kimia dan Barang-barang dari Bahan Kimia,Bensin,8403020
2013,"Farmasi, Obat Kimia  dan Obat Tradisional ",Bensin,40343760
2013,"Karet, Barang Dari Karet dan Plastik ",Bensin,4720926
2013,Barang Galian Bukan Logam,Bensin,444505
2013,Logam Dasar,Bensin,4046613
2013,Barang Logam Bukan Mesin dan Peralatannya                                                    ,Bensin,7613801
2013,"Komputer, Barang Elektronik dan Optik",Bensin,1773781
2013,Peralatan listrik,Bensin,16470841
2013,Mesin dan Perlengkapan ytdl,Bensin,1855044
2013,"Kendaraan Bermotor, Trailer dan Semi Trailer",Bensin,36820773
2013,Alat Angkutan Lainnya,Bensin,6995009
2013,Furnitur,Bensin,2119276
2013,"Pengolahan Lainnya (Termasuk Produk dari Batubara, Pengilangan Minyak Bumi)",Bensin,8011807
2013,Jasa Reparasi dan Pemasangan Mesin dan Peralatan,Bensin,101188
2013,Makanan,Solar,67557342
2013,Minuman,Solar,3399329
2013,Tekstil,Solar,2746839
2013,Pakaian Jadi,Solar,39862584
2013,Kulit dan Barang Dari Kulit dan Alas Kaki ,Solar,1730993
2013,"Kayu, Barang Dari Kayu dan Gabus (Tidak Termasuk Furnitur) dan Barang-Barang Anyaman dari Bambu, Rotan dan Sejenisnya",Solar,3524357
2013,Kertas dan Barang Dari Kertas ,Solar,13817751
2013,Percetakan dan Reproduksi Media Rekaman ,Solar,18102824
2013,Bahan Kimia dan Barang-barang dari Bahan Kimia,Solar,325039691
2013,"Farmasi, Obat Kimia  dan Obat Tradisional ",Solar,116638592
2013,"Karet, Barang Dari Karet dan Plastik ",Solar,26115524
2013,Barang Galian Bukan Logam,Solar,22518181
2013,Logam Dasar,Solar,14028925
2013,Barang Logam Bukan Mesin dan Peralatannya                                                    ,Solar,23717564
2013,"Komputer, Barang Elektronik dan Optik",Solar,4694239
2013,Peralatan listrik,Solar,52475909
2013,Mesin dan Perlengkapan ytdl,Solar,2937874
2013,"Kendaraan Bermotor, Trailer dan Semi Trailer",Solar,124997312
2013,Alat Angkutan Lainnya,Solar,66299412
2013,Furnitur,Solar,1610906
2013,"Pengolahan Lainnya (Termasuk Produk dari Batubara, Pengilangan Minyak Bumi)",Solar,27070250
2013,Jasa Reparasi dan Pemasangan Mesin dan Peralatan,Solar,182653
2013,Makanan,Pelumas,2441055
2013,Minuman,Pelumas,59373
2013,Tekstil,Pelumas,521713
2013,Pakaian Jadi,Pelumas,3475277
2013,Kulit dan Barang Dari Kulit dan Alas Kaki ,Pelumas,273558
2013,"Kayu, Barang Dari Kayu dan Gabus (Tidak Termasuk Furnitur) dan Barang-Barang Anyaman dari Bambu, Rotan dan Sejenisnya",Pelumas,94296
2013,Kertas dan Barang Dari Kertas ,Pelumas,2401794
2013,Percetakan dan Reproduksi Media Rekaman ,Pelumas,4432020
2013,Bahan Kimia dan Barang-barang dari Bahan Kimia,Pelumas,2806396
2013,"Farmasi, Obat Kimia  dan Obat Tradisional ",Pelumas,2051827
2013,"Karet, Barang Dari Karet dan Plastik ",Pelumas,4044818
2013,Barang Galian Bukan Logam,Pelumas,2201647
2013,Logam Dasar,Pelumas,4647482
2013,Barang Logam Bukan Mesin dan Peralatannya                                                    ,Pelumas,104857404
2013,"Komputer, Barang Elektronik dan Optik",Pelumas,66211
2013,Peralatan listrik,Pelumas,19183366
2013,Mesin dan Perlengkapan ytdl,Pelumas,1080480
2013,"Kendaraan Bermotor, Trailer dan Semi Trailer",Pelumas,112359206
2013,Alat Angkutan Lainnya,Pelumas,28814904
2013,Furnitur,Pelumas,7362375
2013,"Pengolahan Lainnya (Termasuk Produk dari Batubara, Pengilangan Minyak Bumi)",Pelumas,1218276
2013,Jasa Reparasi dan Pemasangan Mesin dan Peralatan,Pelumas,3680
